land_size_acres,crop_type,irrigation_type,soil_type,region,past_fertilizer_usage,recommended_nutrient_dose,max_allowed_qty
2.19,Cotton,Borewell,Clay,East,102.96,40,91.66
3.19,Paddy,Borewell,Clay,North,124.09,50,148.53
0.76,Cotton,Borewell,Sandy,West,34.45,40,31.01
3.69,Paddy,Borewell,Clay,South,131.05,50,201.84
4.25,Paddy,Borewell,Sandy,South,171.31,50,198.98
1.33,Cotton,Rainfed,Clay,West,45.33,40,53.46
2.44,Cotton,Rainfed,Clay,South,82.53,40,99.78
1.13,Cotton,Rainfed,Loam,East,38.24,40,43.99
2.55,Paddy,Borewell,Loam,North,139.3,50,119.84
2.81,Paddy,Rainfed,Clay,East,139.97,50,127.76
3.23,Maize,Rainfed,Clay,West,76.09,30,88.47
4.77,Cotton,Borewell,Loam,North,225.68,40,202.57
1.87,Cotton,Rainfed,Sandy,East,56.01,40,77.56
2.48,Cotton,Borewell,Sandy,North,75.49,40,99.1
0.65,Paddy,Borewell,Loam,North,37.53,50,30.93
3.48,Paddy,Borewell,Loam,East,148.92,50,174.7
2.96,Maize,Rainfed,Clay,East,70.37,30,97.14
3.99,Maize,Borewell,Sandy,East,140.02,30,129.15
3.19,Cotton,Borewell,Sandy,South,148.14,40,117.1
1.38,Cotton,Borewell,Clay,West,39.89,40,53.27
2.25,Maize,Rainfed,Sandy,South,56.41,30,71.94
2.11,Cotton,Rainfed,Clay,South,70.94,40,85.12
1.13,Paddy,Rainfed,Loam,East,62.21,50,51.69
4.94,Paddy,Borewell,Sandy,East,268.27,50,232.12
0.52,Paddy,Rainfed,Loam,West,28.8,50,27.08
3.78,Paddy,Rainfed,Clay,South,205.19,50,172.9
2.11,Cotton,Rainfed,Sandy,West,63.97,40,90.53
3.3,Cotton,Rainfed,Loam,South,114.24,40,120.48
1.9,Paddy,Rainfed,Clay,North,81.95,50,99.36
3.37,Paddy,Borewell,Sandy,South,192.7,50,167.56
1.04,Cotton,Rainfed,Sandy,North,43.96,40,43.77
3.03,Maize,Rainfed,Sandy,West,98.67,30,90.79
2.85,Cotton,Rainfed,Sandy,North,104.17,40,103.18
0.99,Cotton,Borewell,Sandy,East,28.34,40,40.68
1.91,Cotton,Rainfed,Clay,East,72.91,40,82.63
1.62,Maize,Borewell,Loam,North,43.99,30,51.08
1.53,Cotton,Rainfed,Sandy,South,45.2,40,58.63
1.23,Cotton,Borewell,Sandy,East,57.31,40,52.23
3.35,Cotton,Borewell,Clay,East,152.19,40,142.14
1.34,Paddy,Borewell,Sandy,East,76.8,50,67.53
4.13,Maize,Borewell,Clay,East,142.24,30,119.39
1.0,Maize,Borewell,Clay,South,24.42,30,29.56
4.18,Cotton,Borewell,Clay,West,189.0,40,150.71
2.8,Paddy,Borewell,Clay,West,127.22,50,132.22
1.04,Cotton,Borewell,Loam,West,36.14,40,45.29
1.95,Paddy,Borewell,Sandy,East,93.54,50,101.46
2.14,Maize,Rainfed,Loam,West,76.13,30,70.14
1.63,Paddy,Borewell,Clay,North,77.31,50,78.25
1.78,Maize,Borewell,Sandy,South,38.36,30,54.57
2.76,Cotton,Borewell,Clay,North,80.12,40,105.51
4.59,Cotton,Borewell,Clay,North,150.51,40,170.56
2.7,Paddy,Rainfed,Clay,South,161.03,50,128.04
3.52,Maize,Rainfed,Clay,South,114.13,30,100.06
3.78,Cotton,Rainfed,Clay,West,133.64,40,155.2
3.35,Maize,Borewell,Clay,North,97.27,30,92.26
4.26,Cotton,Rainfed,Loam,West,146.61,40,159.72
0.68,Maize,Rainfed,Sandy,North,20.31,30,21.12
0.57,Cotton,Borewell,Clay,West,21.8,40,21.55
3.4,Cotton,Rainfed,Clay,South,107.06,40,141.19
2.24,Paddy,Borewell,Sandy,West,130.86,50,103.88
2.03,Paddy,Rainfed,Clay,East,76.81,50,110.12
4.45,Maize,Borewell,Clay,West,110.67,30,137.77
4.18,Cotton,Borewell,Clay,North,163.45,40,168.19
1.59,Paddy,Borewell,Clay,West,59.35,50,85.82
4.55,Maize,Rainfed,Clay,West,138.76,30,132.11
2.07,Paddy,Borewell,Loam,North,110.02,50,111.72
4.49,Maize,Rainfed,Loam,East,146.81,30,138.53
0.88,Maize,Rainfed,Clay,South,20.61,30,28.5
3.23,Maize,Borewell,Clay,North,68.28,30,89.18
3.49,Cotton,Rainfed,Clay,North,98.07,40,130.13
2.97,Cotton,Rainfed,Sandy,South,124.26,40,122.41
1.51,Paddy,Borewell,Clay,North,79.73,50,71.53
1.96,Cotton,Borewell,Sandy,South,84.14,40,80.75
4.32,Maize,Borewell,Sandy,South,133.33,30,131.37
0.92,Cotton,Borewell,Sandy,North,32.53,40,35.07
1.6,Maize,Rainfed,Loam,South,56.95,30,46.97
4.51,Cotton,Rainfed,Clay,East,183.21,40,191.04
2.76,Maize,Borewell,Sandy,East,81.84,30,82.68
1.38,Maize,Rainfed,Clay,North,43.93,30,39.58
0.61,Maize,Borewell,Clay,South,18.72,30,17.12
4.73,Cotton,Rainfed,Clay,East,222.68,40,204.9
2.17,Paddy,Borewell,Loam,East,76.79,50,117.79
2.43,Paddy,Rainfed,Sandy,East,143.77,50,132.77
4.34,Cotton,Borewell,Sandy,East,147.08,40,169.61
4.33,Cotton,Borewell,Clay,East,148.69,40,161.75
3.01,Paddy,Borewell,Sandy,South,175.8,50,156.4
3.07,Maize,Rainfed,Sandy,South,68.94,30,94.22
4.96,Cotton,Rainfed,Clay,East,152.78,40,199.13
4.45,Cotton,Rainfed,Loam,North,190.53,40,185.01
3.66,Paddy,Rainfed,Loam,North,160.99,50,175.45
4.14,Paddy,Rainfed,Clay,East,228.75,50,222.2
4.61,Paddy,Rainfed,Sandy,West,220.28,50,230.57
4.09,Cotton,Borewell,Clay,North,167.69,40,170.21
4.08,Cotton,Borewell,Sandy,North,186.86,40,157.91
2.19,Maize,Borewell,Loam,South,49.08,30,66.73
0.66,Paddy,Rainfed,Loam,North,30.78,50,33.28
1.79,Maize,Borewell,Sandy,South,53.45,30,48.66
0.67,Cotton,Borewell,Loam,West,29.78,40,26.05
1.07,Cotton,Borewell,Clay,South,41.14,40,45.11
1.47,Paddy,Rainfed,Clay,South,74.34,50,67.4
0.73,Cotton,Rainfed,Loam,South,28.2,40,29.44
3.37,Maize,Borewell,Sandy,North,107.47,30,110.72
2.82,Maize,Borewell,Loam,South,72.88,30,89.59
1.72,Paddy,Rainfed,Loam,East,79.08,50,78.75
0.61,Paddy,Borewell,Clay,South,36.03,50,32.55
3.63,Maize,Rainfed,Loam,North,98.5,30,101.78
1.2,Maize,Rainfed,Sandy,West,29.7,30,36.35
3.72,Cotton,Rainfed,Clay,North,153.28,40,142.25
4.8,Maize,Borewell,Sandy,East,153.93,30,145.57
3.25,Paddy,Borewell,Sandy,West,147.84,50,154.3
2.1,Maize,Rainfed,Loam,North,67.97,30,56.88
1.02,Maize,Borewell,Loam,North,22.12,30,27.79
4.35,Cotton,Rainfed,Clay,South,183.02,40,173.1
0.94,Maize,Rainfed,Clay,East,26.67,30,28.05
1.28,Cotton,Rainfed,Sandy,North,46.95,40,50.16
3.27,Cotton,Rainfed,Sandy,East,133.1,40,118.91
2.19,Cotton,Rainfed,Loam,West,88.73,40,87.65
4.35,Cotton,Rainfed,Sandy,South,179.11,40,162.27
0.82,Paddy,Rainfed,Sandy,West,41.87,50,37.12
3.14,Cotton,Borewell,Sandy,East,146.97,40,127.5
2.25,Maize,Borewell,Loam,East,68.96,30,66.94
2.96,Paddy,Rainfed,Sandy,East,173.27,50,144.63
4.83,Maize,Rainfed,Loam,South,167.02,30,136.08
0.81,Cotton,Rainfed,Sandy,South,24.31,40,29.28
0.92,Cotton,Borewell,Loam,East,38.33,40,33.64
1.94,Paddy,Borewell,Sandy,East,108.88,50,87.75
4.17,Paddy,Borewell,Clay,North,175.33,50,192.58
3.64,Paddy,Borewell,Loam,North,184.63,50,195.74
3.81,Maize,Rainfed,Sandy,South,125.93,30,109.32
1.3,Cotton,Rainfed,Loam,West,55.92,40,55.19
4.96,Paddy,Borewell,Sandy,North,224.76,50,241.65
3.99,Paddy,Rainfed,Clay,South,173.65,50,216.69
4.36,Cotton,Rainfed,Clay,South,159.49,40,183.15
3.9,Paddy,Rainfed,Clay,West,146.55,50,210.7
2.77,Cotton,Rainfed,Loam,West,123.35,40,106.81
4.53,Cotton,Rainfed,Clay,West,162.1,40,163.47
4.57,Maize,Rainfed,Clay,East,102.23,30,132.15
4.78,Cotton,Rainfed,Sandy,South,224.72,40,194.01
3.34,Maize,Rainfed,Clay,East,92.61,30,96.06
1.98,Paddy,Rainfed,Loam,East,102.59,50,104.0
4.06,Cotton,Borewell,Clay,South,177.8,40,149.12
2.72,Paddy,Rainfed,Sandy,South,99.11,50,137.35
2.49,Cotton,Borewell,Clay,West,113.93,40,96.63
1.03,Maize,Rainfed,Sandy,West,23.84,30,32.52
3.28,Maize,Borewell,Clay,West,73.86,30,90.22
3.65,Maize,Borewell,Sandy,West,80.63,30,116.55
3.68,Maize,Borewell,Loam,East,81.77,30,101.23
4.94,Maize,Rainfed,Sandy,South,131.47,30,144.37
4.16,Maize,Borewell,Loam,West,146.47,30,136.93
3.89,Maize,Borewell,Loam,East,103.64,30,106.98
4.0,Cotton,Rainfed,Sandy,South,156.67,40,157.58
4.58,Maize,Borewell,Sandy,North,103.82,30,137.2
0.55,Maize,Borewell,Clay,West,15.42,30,15.04
1.03,Paddy,Rainfed,Clay,North,39.08,50,53.04
3.86,Maize,Rainfed,Loam,South,114.84,30,126.5
2.19,Maize,Rainfed,Loam,West,55.38,30,70.54
1.51,Maize,Rainfed,Loam,North,53.53,30,40.88
4.86,Maize,Borewell,Sandy,North,105.21,30,157.21
2.87,Maize,Borewell,Sandy,North,103.02,30,78.76
2.99,Cotton,Borewell,Clay,South,141.68,40,120.15
3.33,Paddy,Borewell,Sandy,South,174.47,50,164.99
3.32,Paddy,Borewell,Loam,North,164.7,50,179.32
0.7,Cotton,Borewell,Loam,East,23.53,40,30.52
4.51,Maize,Borewell,Sandy,North,125.54,30,138.55
1.75,Paddy,Rainfed,Clay,North,69.48,50,86.86
2.09,Maize,Rainfed,Loam,South,62.19,30,57.4
4.88,Paddy,Borewell,Clay,East,291.12,50,253.67
2.91,Cotton,Borewell,Sandy,North,99.49,40,123.71
3.58,Maize,Rainfed,Sandy,East,83.91,30,116.23
4.2,Paddy,Rainfed,Clay,West,246.73,50,219.48
3.26,Maize,Borewell,Loam,East,88.91,30,106.26
4.4,Cotton,Rainfed,Sandy,South,127.18,40,159.33
2.19,Maize,Borewell,Sandy,East,72.62,30,72.1
1.18,Cotton,Rainfed,Loam,West,47.06,40,46.08
4.86,Cotton,Rainfed,Loam,South,217.93,40,207.55
2.61,Paddy,Rainfed,Loam,South,118.42,50,124.59
0.75,Maize,Rainfed,Loam,North,25.48,30,23.91
5.0,Maize,Rainfed,Clay,West,179.75,30,151.66
3.96,Paddy,Rainfed,Loam,East,232.13,50,211.85
1.61,Maize,Rainfed,Sandy,North,44.69,30,44.72
4.79,Cotton,Borewell,Clay,South,192.19,40,181.2
3.52,Cotton,Rainfed,Loam,South,142.08,40,136.81
1.01,Cotton,Rainfed,Sandy,West,41.85,40,40.56
3.98,Maize,Borewell,Clay,East,114.63,30,127.81
2.98,Paddy,Rainfed,Sandy,South,146.09,50,160.22
2.32,Maize,Rainfed,Loam,East,53.38,30,63.04
3.9,Maize,Rainfed,Loam,West,118.19,30,121.78
1.46,Maize,Rainfed,Loam,South,33.65,30,39.55
2.08,Paddy,Borewell,Loam,North,103.48,50,101.76
2.47,Cotton,Borewell,Clay,South,113.83,40,95.8
2.81,Cotton,Rainfed,Loam,East,122.72,40,110.07
3.3,Paddy,Borewell,Loam,South,186.65,50,179.83
1.16,Maize,Borewell,Loam,North,40.48,30,34.75
1.66,Cotton,Borewell,Loam,North,61.72,40,72.77
2.72,Paddy,Rainfed,Sandy,South,117.56,50,139.63
1.58,Cotton,Rainfed,Clay,North,46.64,40,58.51
1.08,Cotton,Rainfed,Loam,West,33.52,40,40.08
3.38,Maize,Rainfed,Clay,North,80.2,30,98.27
4.54,Maize,Rainfed,Clay,North,127.62,30,140.76
1.28,Maize,Rainfed,Clay,North,30.57,30,34.87
1.26,Paddy,Borewell,Sandy,East,52.88,50,58.93
0.9,Paddy,Borewell,Clay,West,34.21,50,44.65
1.43,Cotton,Borewell,Sandy,West,50.46,40,57.24
3.61,Maize,Rainfed,Loam,West,77.94,30,114.79
3.33,Maize,Borewell,Sandy,North,74.01,30,107.36
4.64,Paddy,Borewell,Loam,North,169.49,50,221.65
4.13,Paddy,Borewell,Clay,North,221.81,50,193.47
1.44,Paddy,Borewell,Loam,West,63.74,50,71.78
3.28,Cotton,Rainfed,Loam,North,116.04,40,130.22
3.86,Paddy,Rainfed,Sandy,East,138.64,50,183.44
3.71,Cotton,Rainfed,Clay,South,170.3,40,148.75
2.89,Maize,Borewell,Loam,North,65.34,30,85.79
2.9,Cotton,Borewell,Sandy,South,95.26,40,110.65
2.2,Maize,Borewell,Clay,North,46.86,30,63.65
1.45,Paddy,Rainfed,Sandy,East,62.62,50,66.99
4.51,Maize,Borewell,Loam,East,134.87,30,140.15
4.05,Cotton,Rainfed,Loam,West,153.77,40,148.62
2.92,Maize,Borewell,Sandy,North,87.02,30,91.9
2.44,Maize,Rainfed,Sandy,East,55.91,30,70.03
2.13,Paddy,Borewell,Clay,North,108.95,50,108.01
2.1,Cotton,Rainfed,Sandy,North,100.23,40,85.78
1.57,Paddy,Rainfed,Sandy,West,58.94,50,73.05
1.61,Maize,Borewell,Sandy,West,37.69,30,45.27
1.78,Cotton,Rainfed,Clay,West,56.01,40,76.85
0.86,Maize,Rainfed,Loam,East,24.83,30,25.34
4.92,Cotton,Borewell,Clay,East,148.78,40,192.78
4.86,Maize,Rainfed,Loam,West,165.16,30,155.05
1.66,Cotton,Borewell,Loam,North,52.15,40,68.64
4.68,Maize,Rainfed,Loam,North,137.36,30,142.41
1.76,Maize,Borewell,Sandy,West,57.27,30,49.5
1.96,Maize,Borewell,Clay,East,53.67,30,58.89
1.59,Cotton,Rainfed,Sandy,West,48.17,40,65.01
1.8,Paddy,Borewell,Loam,South,89.16,50,83.78
2.67,Maize,Rainfed,Sandy,West,77.4,30,72.92
2.01,Paddy,Borewell,Sandy,South,77.1,50,91.72
4.95,Cotton,Borewell,Loam,North,170.51,40,210.27
1.65,Cotton,Rainfed,Clay,South,68.69,40,69.44
3.18,Paddy,Rainfed,Clay,South,148.79,50,156.2
2.07,Maize,Rainfed,Sandy,East,72.33,30,66.21
4.84,Maize,Rainfed,Loam,South,110.66,30,151.9
4.72,Maize,Borewell,Loam,South,111.95,30,129.32
3.84,Cotton,Borewell,Clay,East,151.64,40,164.1
1.13,Maize,Rainfed,Sandy,East,37.21,30,31.88
1.24,Paddy,Rainfed,Sandy,East,48.49,50,65.9
3.49,Cotton,Rainfed,Clay,West,134.23,40,135.66
4.45,Cotton,Rainfed,Loam,East,159.53,40,189.27
2.48,Cotton,Rainfed,Loam,East,88.14,40,98.46
1.86,Paddy,Borewell,Sandy,West,99.86,50,93.05
1.54,Paddy,Rainfed,Clay,East,88.53,50,75.21
2.95,Cotton,Rainfed,Sandy,West,136.08,40,120.93
1.03,Maize,Borewell,Loam,North,36.15,30,31.69
2.01,Paddy,Rainfed,Clay,West,77.35,50,106.41
3.29,Paddy,Rainfed,Clay,South,159.03,50,177.46
4.05,Maize,Borewell,Clay,West,94.26,30,116.92
1.62,Maize,Rainfed,Sandy,West,52.1,30,44.07
3.06,Cotton,Borewell,Loam,West,132.34,40,131.62
2.04,Maize,Rainfed,Sandy,North,67.97,30,56.43
4.31,Cotton,Borewell,Clay,East,131.67,40,168.86
4.09,Paddy,Borewell,Loam,North,158.48,50,193.43
3.75,Cotton,Borewell,Loam,South,159.0,40,154.23
3.62,Cotton,Rainfed,Clay,North,140.65,40,137.61
2.06,Maize,Borewell,Loam,East,48.87,30,66.85
3.13,Maize,Rainfed,Clay,South,84.55,30,93.19
4.76,Cotton,Rainfed,Sandy,South,147.88,40,193.68
2.78,Paddy,Borewell,Clay,West,139.8,50,125.6
4.42,Cotton,Borewell,Loam,South,206.16,40,179.1
3.63,Paddy,Rainfed,Sandy,East,210.77,50,189.02
1.19,Maize,Rainfed,Sandy,North,35.28,30,36.46
2.41,Maize,Rainfed,Sandy,South,77.23,30,78.58
4.67,Paddy,Rainfed,Loam,East,216.09,50,215.44
4.93,Cotton,Rainfed,Sandy,East,220.76,40,182.4
4.64,Maize,Rainfed,Clay,West,157.98,30,139.72
3.16,Maize,Borewell,Clay,West,85.27,30,86.36
2.01,Cotton,Rainfed,Sandy,East,88.55,40,72.43
2.0,Cotton,Rainfed,Clay,West,71.93,40,80.6
4.64,Maize,Borewell,Sandy,North,121.55,30,134.94
3.82,Cotton,Rainfed,Loam,South,141.51,40,144.38
2.54,Cotton,Rainfed,Clay,South,78.28,40,95.02
2.74,Cotton,Rainfed,Sandy,South,99.68,40,118.69
2.13,Cotton,Borewell,Sandy,North,84.37,40,87.45
0.56,Maize,Rainfed,Clay,East,17.33,30,15.72
4.82,Cotton,Borewell,Clay,East,149.29,40,189.51
0.88,Maize,Rainfed,Clay,South,31.64,30,26.41
3.18,Paddy,Rainfed,Sandy,East,116.63,50,166.95
1.44,Paddy,Rainfed,Loam,East,82.73,50,67.75
1.36,Cotton,Rainfed,Clay,West,39.07,40,54.1
3.04,Paddy,Borewell,Clay,West,111.39,50,160.38
2.54,Cotton,Rainfed,Clay,West,97.76,40,100.4
2.3,Paddy,Rainfed,Sandy,North,112.68,50,107.07
1.32,Maize,Rainfed,Sandy,East,44.78,30,43.13
2.18,Cotton,Rainfed,Sandy,East,72.84,40,89.71
2.34,Paddy,Borewell,Loam,North,83.39,50,108.95
3.72,Cotton,Rainfed,Sandy,South,153.18,40,134.73
1.5,Cotton,Borewell,Sandy,West,48.93,40,62.06
0.59,Cotton,Rainfed,Sandy,West,17.75,40,25.02
1.3,Paddy,Borewell,Clay,North,66.71,50,61.6
0.95,Maize,Rainfed,Clay,North,23.42,30,29.77
4.35,Paddy,Borewell,Loam,West,242.54,50,213.03
3.51,Maize,Rainfed,Sandy,South,84.5,30,100.94
4.53,Maize,Borewell,Loam,West,96.01,30,124.63
1.44,Maize,Borewell,Sandy,East,30.81,30,40.45
3.12,Paddy,Rainfed,Loam,South,142.07,50,168.25
4.18,Maize,Borewell,Sandy,East,109.21,30,119.37
2.21,Cotton,Rainfed,Clay,West,87.97,40,84.3
3.31,Maize,Borewell,Clay,West,89.84,30,100.33
2.46,Paddy,Borewell,Sandy,North,104.21,50,134.03
3.94,Paddy,Rainfed,Clay,South,151.7,50,211.52
2.69,Cotton,Borewell,Clay,South,123.45,40,114.05
2.41,Cotton,Borewell,Clay,East,68.56,40,91.94
2.94,Paddy,Borewell,Loam,South,149.46,50,139.88
1.13,Paddy,Rainfed,Clay,North,63.14,50,61.97
2.87,Cotton,Borewell,Clay,North,90.21,40,109.57
0.58,Maize,Borewell,Sandy,East,20.13,30,16.07
3.09,Paddy,Borewell,Loam,North,129.32,50,156.17
3.43,Paddy,Rainfed,Sandy,North,191.2,50,161.43
0.55,Cotton,Borewell,Loam,West,16.91,40,23.76
4.43,Maize,Borewell,Loam,South,132.73,30,135.57
3.49,Cotton,Borewell,Sandy,East,109.96,40,151.17
2.38,Maize,Borewell,Clay,West,63.66,30,71.67
0.71,Maize,Rainfed,Sandy,North,16.68,30,22.31
0.87,Maize,Rainfed,Clay,North,26.14,30,24.77
2.25,Maize,Borewell,Clay,South,56.99,30,65.55
3.74,Maize,Rainfed,Loam,East,95.21,30,113.69
2.64,Maize,Rainfed,Clay,North,81.72,30,86.12
3.8,Cotton,Borewell,Loam,West,122.74,40,137.75
1.68,Paddy,Rainfed,Loam,West,83.79,50,76.46
2.73,Maize,Rainfed,Sandy,North,81.77,30,79.18
3.97,Maize,Rainfed,Loam,East,89.72,30,108.98
3.78,Maize,Borewell,Sandy,West,107.47,30,117.67
2.46,Paddy,Borewell,Clay,North,101.25,50,130.85
4.1,Maize,Borewell,Sandy,East,128.82,30,117.39
3.16,Paddy,Borewell,Sandy,East,139.12,50,145.09
4.63,Cotton,Borewell,Loam,East,142.31,40,201.88
2.51,Cotton,Rainfed,Sandy,North,79.57,40,101.24
4.43,Maize,Rainfed,Loam,North,141.69,30,141.05
3.46,Cotton,Borewell,Clay,West,144.79,40,148.07
1.62,Paddy,Borewell,Loam,East,76.52,50,76.48
4.94,Paddy,Rainfed,Sandy,South,289.49,50,224.25
3.68,Maize,Borewell,Sandy,East,128.35,30,103.35
3.06,Paddy,Borewell,Loam,East,177.13,50,138.74
3.64,Maize,Rainfed,Clay,South,92.68,30,118.47
4.87,Paddy,Rainfed,Clay,South,285.41,50,242.24
4.38,Cotton,Borewell,Clay,South,196.62,40,168.86
4.23,Maize,Rainfed,Loam,East,91.18,30,129.34
1.54,Paddy,Rainfed,Loam,East,58.54,50,70.49
3.63,Cotton,Borewell,Clay,South,126.31,40,151.73
0.79,Paddy,Borewell,Sandy,North,33.88,50,39.81
4.06,Maize,Rainfed,Sandy,West,104.67,30,124.87
4.49,Maize,Rainfed,Loam,East,135.77,30,127.51
0.61,Paddy,Borewell,Loam,West,34.62,50,27.58
4.44,Paddy,Rainfed,Sandy,West,214.11,50,241.49
4.09,Cotton,Rainfed,Clay,South,196.15,40,158.72
3.95,Maize,Borewell,Clay,South,106.76,30,118.02
3.32,Maize,Borewell,Clay,East,113.23,30,109.24
3.96,Maize,Rainfed,Clay,North,107.98,30,116.93
3.82,Maize,Rainfed,Clay,South,93.9,30,105.67
2.1,Maize,Borewell,Sandy,East,53.15,30,60.43
1.55,Paddy,Rainfed,Sandy,North,55.88,50,70.03
4.94,Maize,Borewell,Loam,North,135.44,30,144.77
3.56,Maize,Rainfed,Sandy,West,86.41,30,116.41
4.04,Cotton,Rainfed,Loam,North,120.34,40,158.94
4.46,Maize,Borewell,Loam,South,156.86,30,132.93
3.26,Cotton,Rainfed,Sandy,East,102.17,40,143.21
1.54,Paddy,Rainfed,Clay,South,90.2,50,79.3
3.23,Maize,Rainfed,Sandy,North,92.67,30,91.68
1.29,Maize,Rainfed,Sandy,East,31.36,30,36.27
4.01,Paddy,Rainfed,Clay,North,175.45,50,182.77
4.86,Cotton,Borewell,Sandy,South,221.98,40,211.03
4.98,Maize,Rainfed,Sandy,South,117.57,30,146.3
3.91,Paddy,Borewell,Clay,East,204.89,50,181.97
4.17,Paddy,Borewell,Sandy,South,169.35,50,196.98
2.92,Cotton,Borewell,Clay,West,116.39,40,118.67
0.91,Maize,Rainfed,Sandy,East,31.09,30,26.02
1.08,Cotton,Rainfed,Clay,West,49.44,40,47.14
4.38,Paddy,Rainfed,Loam,East,241.94,50,225.8
2.98,Maize,Borewell,Loam,North,66.47,30,87.76
2.18,Maize,Rainfed,Loam,North,54.27,30,68.32
2.73,Paddy,Rainfed,Loam,North,101.08,50,128.86
3.57,Cotton,Borewell,Sandy,West,105.4,40,152.83
2.73,Maize,Borewell,Loam,South,77.01,30,83.41
4.21,Maize,Rainfed,Sandy,South,110.37,30,130.8
3.05,Paddy,Rainfed,Clay,East,127.11,50,164.05
4.09,Cotton,Borewell,Sandy,South,168.38,40,175.07
4.4,Paddy,Borewell,Sandy,West,231.92,50,234.83
3.64,Maize,Borewell,Loam,East,113.58,30,111.79
3.89,Maize,Rainfed,Loam,East,90.94,30,125.59
4.42,Cotton,Borewell,Sandy,East,126.35,40,188.32
1.08,Paddy,Rainfed,Clay,West,46.85,50,56.63
1.22,Maize,Rainfed,Sandy,South,40.59,30,39.03
2.78,Maize,Borewell,Sandy,South,58.65,30,79.85
3.28,Maize,Rainfed,Sandy,West,117.15,30,100.99
1.67,Paddy,Borewell,Loam,West,84.92,50,84.17
4.01,Cotton,Rainfed,Clay,North,120.86,40,168.77
2.94,Cotton,Rainfed,Sandy,East,138.94,40,113.88
3.35,Paddy,Rainfed,Loam,South,195.31,50,154.18
4.72,Paddy,Rainfed,Loam,South,246.37,50,215.6
1.85,Paddy,Borewell,Clay,North,97.5,50,84.5
